"dataid","success","I_c","phi_0","f","T","r","C","r_squared","adj_r_squared","rmse","mae","residual_mean","residual_std","error","skipped"
117Ic+,true,0.000008621220631076481,3.1008091473583566,105.50307369567935,4.3631397490003974e-20,0.000082670481359195,0.000008049205858635855,0.4188524331653781,0.3643698487746323,0.000007509687635129644,0.00000490440664739634,-1.3055735209677647e-10,0.7623303528225948,,
117Ic-,true,0.00000407507833493917,0.5056862512063293,129.001285682572,0.9999999937297315,0.0006056402721561665,0.0000042902382823232445,0.40534953227049564,0.3496010509208546,0.0000070887504371725765,0.000005678383511903849,0.001100871580728919,0.3730905041145819,,
116Ic-,true,0.000045851730745551294,-3.141592653588595,38.4394408133679,5.010295744612769e-10,-0.0018037570134442054,0.000053040633556426316,0.7394709350722712,0.7150463352352967,0.00001279778171786645,0.00000985377620521933,1.4776049429393667e-9,3.1994454294666106,,
118Ic-,true,0.00000816535720192293,1.5155818790908362,220.60049625159482,1.8524984429292972e-15,-0.0005229635346889584,0.000019435016347426518,0.35885438319280094,0.298746981617126,0.000008207490307067079,0.00000662194402277507,1.4215063992885846e-9,8.207490307067077,,
119Ic+,true,0.000009601256163749931,2.9858312182902464,87.16905514916566,1.3793465002779098e-19,-0.000755401418422959,0.00004072199023565836,0.9136502459258697,0.90555495648142,0.00000226004603214592,0.0000018745765078667098,-8.331897800803104e-10,2.26004603214592,,
119Ic-,true,0.0000033038084831491345,0.9737115591515936,61.46825341036951,4.7596952176725555e-15,0.00041958781186598283,0.000024032384101349732,0.8938268406460496,0.8838731069566167,7.96006862043664e-7,6.74607376893495e-7,-1.242765974636504e-9,0.3258422307711979,,
118Ic+,true,0.0000060808365375632635,2.8372764084562037,98.09373297050672,0.7438080577428794,-0.00036325757905723713,0.000018454990823794884,0.7228719864540389,0.6968912351841051,0.0000033303982636500695,0.000002477431413763462,1.9040432954878425e-9,3.3303982636500695,,
120Ic-,true,0.000004977227780422303,-3.0289141236397565,1.2181336167621837,0.999913805236446,0.00007288889781712003,0.000020008820957087723,0.4928224679467974,0.4452745743168096,0.000005088587428972609,0.000002488052851168521,0.000003255467783053424,0.712163978338279,,
120Ic+,true,0.000017250295193591287,0.7573013167079912,43.99161096344001,2.29186405265138e-15,0.0002708815324653851,0.0000431511451651357,0.9893450065278618,0.9883461008898489,0.0000010297516697277696,8.636383044554238e-7,-4.610628698862494e-9,1.0297516697277653,,
121Ic-,true,0.0000027016450248474534,1.793732353640633,22.810673282437065,1.6653042608865445e-15,-0.000007591663261500335,0.000007693517457128686,0.38792130198719765,0.33829329944561903,0.0000024641609851646046,0.0000020091928805944784,5.9636705286015544e-9,2.4641609851646047,,
