dataid,I_c,I_c_error,r_squared,chi_squared,processing_time
131Ic,3.1391631230914483e-06,,0.9337784017566404,,0
134Ic+,3.7534725444333858e-06,,0.9487192095174459,,0
134Ic-,1.0535580535612509e-07,,0.15046006984844162,,0
139Ic+,3.704517372315389e-06,,0.8383920362314935,,0
141Ic,0.0001243702493703957,,0.15399064028735898,,0
142Ic,3.654741028782411e-06,,0.9130309639347083,,0
145Ic,5.20281986329299e-07,,0.19477623703867786,,0
144Ic,3.3956364993897416e-06,,0.901568363591729,,0
146Ic,4.7916339160817086e-05,,0.5781727063373422,,0
148Ic,4.201998286552758e-06,,0.9161408942633238,,0
149Ic,4.330043552201162e-05,,0.6071922324749651,,0
147Ic,4.808886732432661e-05,,0.6286032069447955,,0
151Ic,4.03309913359835e-05,,0.43406011558986446,,0
152Ic,2.7820986307667824e-06,,0.25813734219110307,,0
153Ic,4.686092205407387e-06,,0.9471666108447133,,0
154Ic,3.306227941490795e-06,,0.9259654741224027,,0
150Ic,3.892786066770348e-06,,0.9068166923480059,,0
157Ic,5.362240501931156e-05,,0.5986704201007912,,0
158Ic,0.004629475348224943,,0.49069573646536624,,0
156Ic,3.951013223147657e-06,,0.9482256753926338,,0
159Ic,3.618360059118258e-05,,0.5638845497058504,,0
164Ic,3.445171464100439e-06,,0.9345349496868149,,0
162Ic,4.031304012531847e-05,,0.6685196082068638,,0
166Ic,4.4873251294456505e-05,,0.07804750296544005,,0
165Ic,4.134920826271206e-05,,0.6437489880383737,,0
168Ic,4.1516112074422485e-06,,0.9307577757839516,,0
170Ic,3.84483903458747e-06,,0.9324646664436064,,0
171Ic,3.803736235257656e-05,,0.5926048826767039,,0
169Ic,4.335491377620835e-05,,0.6277883292668448,,0
173Ic,4.6329090354876585e-05,,0.6263776128010767,,0
174Ic,3.446212317906195e-06,,0.9188955299044925,,0
172Ic,3.1518952074486796e-06,,0.8859374541722026,,0
175Ic,4.2465320418346126e-05,,0.5747610630261685,,0
176Ic,4.395464701680102e-06,,0.9499990998824349,,0
177Ic,3.021172151609863e-05,,0.5652035886264108,,0
178Ic,3.6276160676415027e-06,,0.9214834071441663,,0
179Ic,3.7435584151758266e-05,,0.6738493735934922,,0
180Ic,5.15547864275968e-06,,0.942204141937099,,0
181Ic,4.106573820979e-05,,0.7010192016471869,,0
182Ic,2.6145956235422517e-06,,0.7219774923270641,,0
183Ic,0.00018167338101326673,,0.09013431616768675,,0
186Ic,3.1263813094103706e-06,,0.8866496909341743,,0
185Ic,3.651374577418398e-06,,0.9115604755712158,,0
187Ic,3.0988558199532734e-05,,0.5408859699520023,,0
189Ic,4.9796176686608977e-05,,0.5663410155234312,,0
188Ic,3.7516734016061977e-06,,0.9160488329444064,,0
190Ic,5.4393924997845625e-06,,0.943993060830849,,0
191Ic,3.0790956286541616e-07,,0.11188371948291398,,0
193Ic,9.130484071748922e-07,,0.5646754127617979,,0
192Ic,4.451129555380279e-05,,0.5528443956583726,,0
195Ic,2.6198974967778112e-06,,0.657629385091175,,0
196Ic,3.83395586457602e-06,,0.913535744446259,,0
194Ic,5.938431363960259e-05,,0.7553539461333837,,0
198Ic,7.550550940740092e-06,,0.4071219401900774,,0
197Ic,3.3619686045061282e-06,,0.9007838704204243,,0
201Ic,3.753169733986281e-06,,0.9338134119994679,,0
200Ic,2.7592217499646273e-05,,0.7152155375717022,,0
202Ic,2.669483187813644e-06,,0.06077255395764003,,0
203Ic,8.282463146341011e-06,,0.4562263977290585,,0
205Ic,3.887394633799359e-06,,0.1500285525293168,,0
204Ic,4.009200487710648e-06,,0.9308229846628351,,0
206Ic,4.1320533020820606e-06,,0.9250494854651299,,0
208Ic,2.866088006257806e-06,,0.26063596923155574,,0
209Ic,8.862940691293718e-06,,0.3881196427631045,,0
210Ic,2.0562459166549496e-05,,0.8715519181138949,,0
211Ic,3.4767250923087177e-06,,0.9205073263573418,,0
214Ic,6.407619200961564e-06,,0.3417532573429891,,0
213Ic,3.6094307293955713e-06,,0.9443378612988171,,0
215Ic,5.051584143667019e-06,,0.9734477114600375,,0
216Ic,2.606486933867157e-05,,0.9133584138433299,,0
219Ic,3.44497326383288e-07,,0.2779829782218619,,0
222Ic,1.7290131997556519e-06,,0.32671071231785354,,0
223Ic,3.538483481761795e-06,,0.9409414933178215,,0
224Ic,7.957033732483238e-06,,0.3889021540311577,,0
225Ic,1.1392130441298293e-05,,0.7868792092531959,,0
226Ic,1.7621276778421863e-05,,0.8644897247240887,,0
221Ic,2.0729561226363072e-05,,0.8458089553967922,,0
227Ic,3.939539663606138e-06,,0.957304024244931,,0
230Ic,3.719730775133051e-06,,0.9444612594236791,,0
232Ic,2.2470778106681192e-05,,0.9346278679329142,,0
233Ic,2.8054627196741326e-05,,0.7189994398676844,,0
231Ic,8.427358680620994e-06,,0.3978144495784456,,0
235Ic,3.9644860848047235e-06,,0.9386665064900264,,0
238Ic,1.4389986759917882e-05,,0.8476843083345456,,0
240Ic,3.953409703551536e-06,,0.9296067680075515,,0
241Ic,1.1301579838384e-05,,0.6372161033181963,,0
242Ic,3.863631351422553e-06,,0.9443860074086754,,0
239Ic,1.1870930779567827e-05,,0.6251824742236978,,0
243Ic,8.099103293360394e-07,,0.00564854767364209,,0
244Ic,2.9961373283852927e-06,,0.8841382392972224,,0
246Ic,1.1241214347796741e-05,,0.5368799548494947,,0
245Ic,1.2866893029346921e-05,,0.6720187113799656,,0
247Ic,1.3723517744856242e-05,,0.6597153209880354,,0
249Ic,1.0460036192631162e-05,,0.48148693420873234,,0
250Ic,4.0242306118574435e-06,,0.5986167799510596,,0
251Ic,3.7113224949623938e-06,,0.9376224837876906,,0
252Ic,3.709437946356954e-06,,0.9323890364900349,,0
253Ic,1.6635125261950314e-05,,0.6641505833730971,,0
254Ic,3.6165064300463533e-06,,0.8832219588087209,,0
255Ic,3.5450291735466085e-07,,0.2227024133399067,,0
256Ic,1.2384958562899492e-05,,0.6560285443159803,,0
257Ic,1.930169868803439e-05,,0.7494261415373304,,0
259Ic,2.6810767639166884e-06,,0.9456386747791572,,0
260Ic,5.658222268770742e-06,,0.08997681179376438,,0
248Ic,1.530629306836293e-05,,0.6320367627691068,,0
261Ic,1.2822699578027672e-06,,0.795325606968788,,0
