dataid,success,I_c,phi_0,f,T,r,C,r_squared,adj_r_squared,rmse,mae,residual_mean,residual_std,error,skipped
108Ic-,False,,,,,,,,,,,,,Insufficient data points (11 < 20),
110Ic-,True,4.1906374078680306e-05,1.4764123603410344,73.61280772590311,1.7545469466354017e-30,-0.0013607526052011386,4.488973024222627e-05,0.6031702587229092,0.5659674704781819,2.4886315471915066e-05,1.9370591937821797e-05,-1.0273441640431973e-08,16.590876981276697,,
112Ic,True,6.537483767506963e-06,2.384309884655747,82.96043021074603,4.879972378850351e-27,-0.00021594264237641454,6.988932693937416e-06,0.39482843650314603,0.33809360242531594,5.672593427161912e-06,3.771600171423416e-06,-5.125558731748069e-09,5.672593427161912,,
111Ic,True,6.044043511387052e-06,0.9138936851868392,1481.6927240156629,4.005301901866297e-27,-0.0008309269517555731,1.8819160386828903e-05,0.4238658614056766,0.29583605282916026,5.5162896522657915e-06,4.529649756959984e-06,-4.1603844552435687e-11,0.6489752532077403,,
115Ic,True,9.792234397868593e-06,2.3613456385284426,83.15569893084584,8.774698246217798e-28,-0.00035269496681078347,1.0227528383859275e-05,0.40164717274532014,0.34555159519019385,8.409709749888476e-06,5.9278842815314925e-06,-1.8745320488333036e-08,8.409709749888478,,
116Ic+,True,7.054458639159694e-06,-2.5089799220657114,118.99693638434623,0.9999999940591624,0.0010202481282839987,6.4756402486638525e-06,0.4475462033064258,0.3957536598664032,1.4171672382061521e-05,1.0640832625638666e-05,-1.6259878960816184e-05,0.2778759285843073,,
117Ic+,True,8.621220631076481e-06,3.1008091473583566,105.50307369567935,4.3631397490003974e-20,8.2670481359195e-05,8.049205858635855e-06,0.4188524331653781,0.3643698487746323,7.509687635129644e-06,4.90440664739634e-06,-1.3055735209677647e-10,0.7623303528225948,,
117Ic-,True,4.07507833493917e-06,0.5056862512063293,129.001285682572,0.9999999937297315,0.0006056402721561665,4.2902382823232445e-06,0.40534953227049564,0.3496010509208546,7.0887504371725765e-06,5.678383511903849e-06,0.001100871580728919,0.3730905041145819,,
116Ic-,True,4.5851730745551294e-05,-3.141592653588595,38.4394408133679,5.010295744612769e-10,-0.0018037570134442054,5.3040633556426316e-05,0.7394709350722712,0.7150463352352967,1.279778171786645e-05,9.85377620521933e-06,1.4776049429393667e-09,3.1994454294666106,,
118Ic-,True,8.16535720192293e-06,1.5155818790908362,220.60049625159482,1.8524984429292972e-15,-0.0005229635346889584,1.9435016347426518e-05,0.35885438319280094,0.298746981617126,8.207490307067079e-06,6.62194402277507e-06,1.4215063992885846e-09,8.207490307067077,,
119Ic+,True,9.601256163749931e-06,2.9858312182902464,87.16905514916566,1.3793465002779098e-19,-0.000755401418422959,4.072199023565836e-05,0.9136502459258697,0.90555495648142,2.26004603214592e-06,1.8745765078667098e-06,-8.331897800803104e-10,2.26004603214592,,
119Ic-,True,3.3038084831491345e-06,0.9737115591515936,61.46825341036951,4.7596952176725555e-15,0.00041958781186598283,2.4032384101349732e-05,0.8938268406460496,0.8838731069566167,7.96006862043664e-07,6.74607376893495e-07,-1.242765974636504e-09,0.3258422307711979,,
118Ic+,True,6.0808365375632635e-06,2.8372764084562037,98.09373297050672,0.7438080577428794,-0.00036325757905723713,1.8454990823794884e-05,0.7228719864540389,0.6968912351841051,3.3303982636500695e-06,2.477431413763462e-06,1.9040432954878425e-09,3.3303982636500695,,
120Ic-,True,4.977227780422303e-06,-3.0289141236397565,1.2181336167621837,0.999913805236446,7.288889781712003e-05,2.0008820957087723e-05,0.4928224679467974,0.4452745743168096,5.088587428972609e-06,2.488052851168521e-06,3.255467783053424e-06,0.712163978338279,,
120Ic+,True,1.7250295193591287e-05,0.7573013167079912,43.99161096344001,2.29186405265138e-15,0.0002708815324653851,4.31511451651357e-05,0.9893450065278618,0.9883461008898489,1.0297516697277696e-06,8.636383044554238e-07,-4.610628698862494e-09,1.0297516697277653,,
121Ic-,True,2.7016450248474534e-06,1.793732353640633,22.810673282437065,1.6653042608865445e-15,-7.591663261500335e-06,7.693517457128686e-06,0.38792130198719765,0.33829329944561903,2.4641609851646046e-06,2.0091928805944784e-06,5.9636705286015544e-09,2.4641609851646047,,
121Ic+,True,3.0570764327283844e-06,2.516720256140966,28.384296296005378,0.794793259435107,2.528493146295669e-05,1.077722721763875e-05,0.16032379579956846,0.09224194140493891,6.681156908053802e-06,4.225214378988114e-06,5.660086137505146e-08,0.9163384768743634,,
122Ic-,True,3.431794045577109e-06,-2.052573430728257,117.99517318204997,2.5099442157189258e-14,-6.289154639489639e-05,9.105862219796193e-06,0.6049252874500011,0.588463841093751,2.0221339901090224e-06,1.5562441144016547e-06,-8.373896866575197e-11,0.6285496898018477,,
122Ic+,True,5.05436851751537e-06,1.0978920568388446,23.08874156646239,2.9719731048717276e-17,-1.5194034971949833e-05,1.1259923819785342e-05,0.25307287575329074,0.2219509122430111,5.6089369260093e-06,3.716123190050485e-06,-7.78403974978221e-09,0.8642494571862394,,
123Ic+,True,2.4453070429292693e-06,-0.004155574847353773,499938.94950736244,0.679995714075518,-0.0016589267326743414,2.7017971703910165e-05,0.1090041786189786,-0.04823037809531927,7.280378809418283e-08,2.5638464400145696e-08,1.4246076368803836e-06,0.07280378808024479,,
123Ic-,True,4.1562416642071454e-08,-1.9591518627247866,518201.15592521435,1.1147469559897514e-18,-0.008837159580180044,1.5322450841467322e-05,0.2280953513170385,0.09187688390239823,1.9987459547816378e-07,1.6301598792455352e-07,7.294222661517103e-11,0.19987459547816389,,
124Ic+,False,,,,,,,,,,,,,Insufficient data points (11 < 20),
124Ic-,False,,,,,,,,,,,,,Insufficient data points (11 < 20),
125Ic+,True,4.322512711004904e-06,-0.9118858403523453,132532.61581604992,0.43417008365814924,-0.015004363181488473,3.418925886094247e-05,0.9613049833958159,0.9544764510539011,7.020978308689086e-07,5.09961242262368e-07,-2.920931897438372e-10,0.2808391323475636,,
126Ic+,True,4.055524339197876e-06,-0.6964436441362094,132824.59756365514,0.5500501535379837,-0.025546807979214544,2.9796551172870732e-05,0.9541967429457665,0.9461138152303136,7.557634100331235e-07,5.64023469229571e-07,-6.753986259155909e-10,0.7557634100331232,,
126Ic-,False,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,True
125Ic-,True,4.7430478546305195e-07,-2.7302777659761293,119277.7107413694,0.06647923697649412,-0.006014051523486564,1.9666756584120733e-05,0.2857760112319897,0.15973648380234085,5.392871671094957e-07,4.139772551973854e-07,1.7487847538641208e-09,0.35952477807299654,,
127Ic,True,3.988925059194344e-06,1.282574655942769,133138.25570621417,0.5700315549358913,-0.01071046291424275,2.980455610801621e-05,0.9487534989944713,0.945796970090306,7.859132552563035e-07,6.217809422839726e-07,1.3843346389128462e-10,0.4041839598461082,,
128Ic-,False,,,,,,,,,,,,,Insufficient data points (17 < 20),
128Ic+,False,,,,,,,,,,,,,Insufficient data points (17 < 20),
129Ic+,True,3.346934789196901e-06,-2.1234450382896704,132254.95518130646,0.5155531471020086,-0.002711453512499349,1.9451339569247247e-05,0.9676926311442354,0.9632870808457221,5.100229237663484e-07,4.034036241195629e-07,-7.367779480198206e-11,0.17000764125544937,,
130Ic+,True,2.9050951004798102e-06,-1.823226243358628,133057.73860606592,0.6298230551486266,-0.017742701400013484,1.85646212122094e-05,0.9447079806614432,0.9371681598425491,6.284775197397023e-07,4.957838372973546e-07,-4.943093864512196e-12,0.25139100789588087,,
129Ic-,True,1.0460238681777535e-05,2.274041978170437,132700.6048875177,7.029285191509005e-14,0.021655316958856086,8.247700099112214e-06,0.7473378542632527,0.7128839252991508,4.3681964749331166e-06,3.478476638661219e-06,-9.2720515361438e-12,0.5026550962009111,,
131Ic,True,3.1391631230914483e-06,1.9570374319380965,132108.27006121096,0.5497969497484062,0.0036293946582932686,1.90172628642035e-05,0.9337784017566404,0.929957924934908,7.09539897041975e-07,5.262594355052173e-07,-2.501448337755408e-10,0.709539897041975,,
132Ic+,False,,,,,,,,,,,,,Insufficient data points (13 < 20),
130Ic-,False,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,True
132Ic-,False,,,,,,,,,,,,,Insufficient data points (13 < 20),
133Ic+,False,,,,,,,,,,,,,Insufficient data points (3 < 20),
133Ic-,False,,,,,,,,,,,,,Insufficient data points (3 < 20),
134Ic+,True,3.7534725444333858e-06,0.4295124325829089,167185.62300100067,4.722671382771426e-16,-0.056126743553733864,5.098671482307853e-05,0.9487192095174459,0.9396696582558188,5.992646026473574e-07,4.6252685986412685e-07,-1.299726884383983e-10,0.2996323013236785,,
134Ic-,True,1.0535580535612509e-07,-0.37914973261075685,1236280.1163828727,0.9999999909612223,-0.019448762168199626,5.954593112949556e-06,0.15046006984844162,0.0005412586452254731,3.468139197455152e-07,2.4845255940058983e-07,4.613556167134493e-05,0.34681391667688105,,
135Ic-,False,,,,,,,,,,,,,Insufficient data points (2 < 20),
136Ic+,False,,,,,,,,,,,,,Insufficient data points (7 < 20),
135Ic+,False,,,,,,,,,,,,,Insufficient data points (2 < 20),
136Ic-,False,,,,,,,,,,,,,Insufficient data points (7 < 20),
137Ic+,False,,,,,,,,,,,,,Insufficient data points (14 < 20),
