參數,003-2@30mT_平均值,003-2@30mT_標準差,003-2@60mT_平均值,003-2@60mT_標準差,005-1@30mT_平均值,005-1@30mT_標準差,005-1@60mT_平均值,005-1@60mT_標準差,003-2_磁場比值(60/30),005-1_磁場比值(60/30),30mT_樣本比值(005-1/003-2),60mT_樣本比值(005-1/003-2)
I_c,3.8418054578116675e-05,4.7629505057745186e-05,3.094164682913333e-05,2.321401082294786e-05,2.0108522236028664e-05,3.36575794009838e-05,3.3520447538206774e-06,1.369443817880348e-06,0.8053933799854097,0.1666977172402446,0.5234133392970577,0.10833440030944104
phi_0,-0.043012598961595434,1.8034414788445365,1.2613475725275958,2.1690188506652945,-0.028587259188719127,1.4991917234182068,-0.22166973559904898,1.595543005498031,-29.325072257405612,7.754144394735207,0.6646252465293663,-0.17574040686886033
f,59947.13202417797,63290.57802077416,265.07222916836014,194.32013643775247,113717.99079731091,71748.5812059623,164900.12850939238,23786.709789260636,0.0044217666503453545,1.4500795111945628,1.8969713305291402,622.0950758468794
T,0.0964166165073625,0.23617151299371822,0.6663799858229748,0.5771021565056793,0.125000000000151,0.3535533905932127,0.13356674603305158,0.30783551764315725,6.911464122702222,1.0685339682631219,1.2964570270997409,0.20043631092566136
r,0.008141154377203233,0.010674689096831863,0.00037503638844056664,0.0016022883435067882,0.012582068571005536,0.04636771467899944,0.013224300346457014,0.041207662614540265,0.04606673342182765,1.0510434172113363,1.545489495474708,35.26137930627154
C,5.521008491565001e-05,2.325084312353996e-05,5.153419605213334e-05,3.996545462972691e-05,8.418895582851249e-05,3.88680280646646e-05,9.49323466961375e-05,1.9268752047374115e-05,0.9334199744642181,1.127610453911658,1.524883650462346,1.84212336600927
r_squared,0.7300544191829187,0.33836542805770947,0.4252348309952731,0.29702033568944275,0.799308665497239,0.26649502382689244,0.8130187353600824,0.2837497252422569,0.5824700458237051,1.0171524098945113,1.0948617589245335,1.911928835785138
