參數,30mT_平均值,30mT_標準差,60mT_平均值,60mT_標準差,比值_60mT/30mT,30mT_數據點,60mT_數據點
I_c,2.0108522236028664e-05,3.36575794009838e-05,3.3520447538206774e-06,1.369443817880348e-06,0.1666977172402446,8,8
phi_0,-0.028587259188719127,1.4991917234182068,-0.22166973559904898,1.595543005498031,7.754144394735207,8,8
f,113717.99079731091,71748.5812059623,164900.12850939238,23786.709789260636,1.4500795111945628,8,8
T,0.125000000000151,0.3535533905932127,0.13356674603305158,0.30783551764315725,1.0685339682631219,8,8
r,0.012582068571005536,0.04636771467899944,0.013224300346457014,0.041207662614540265,1.0510434172113363,8,8
C,8.418895582851249e-05,3.88680280646646e-05,9.49323466961375e-05,1.9268752047374115e-05,1.127610453911658,8,8
r_squared,0.799308665497239,0.26649502382689244,0.8130187353600824,0.2837497252422569,1.0171524098945113,8,8
