磁場條件,平均穿透率,標準差,最小值,最大值,數據點數
30mT,0.125000000000151,0.3535533905932127,9.60185514138507e-32,1.0,8
60mT,0.13356674603305158,0.30783551764315725,2.3763709017750174e-24,0.8771788722012632,8
